Coverage	Total_chains	Assembled	Percentage_Assembled	Productive	Percentage_Productive	Sensitivity	Method	Chain	Dataset	Read_Length
500K	72	0	0.00	0	0.00	0.00	MIXCR	Heavy	Leiden	25
250K	72	0	0.00	0	0.00	0.00	MIXCR	Heavy	Leiden	25
100K	72	0	0.00	0	0.00	0.00	MIXCR	Heavy	Leiden	25
50K	73	0	0.00	0	0.00	0.00	MIXCR	Heavy	Leiden	25
1M250K	72	58	0.81	51	0.71	0.46	MIXCR	Light	Leiden	100
1M	72	58	0.81	51	0.71	0.46	MIXCR	Light	Leiden	100
750K	72	58	0.81	51	0.71	0.46	MIXCR	Light	Leiden	100
500K	72	58	0.81	51	0.71	0.46	MIXCR	Light	Leiden	100
250K	72	58	0.81	51	0.71	0.46	MIXCR	Light	Leiden	100
100K	72	58	0.81	50	0.69	0.46	MIXCR	Light	Leiden	100
50K	72	58	0.81	51	0.71	0.45	MIXCR	Light	Leiden	100
1M250K	72	58	0.81	50	0.69	0.46	MIXCR	Light	Leiden	75
1M	72	58	0.81	50	0.69	0.46	MIXCR	Light	Leiden	75
750K	72	58	0.81	50	0.69	0.46	MIXCR	Light	Leiden	75
500K	72	58	0.81	50	0.69	0.46	MIXCR	Light	Leiden	75
250K	72	58	0.81	50	0.69	0.46	MIXCR	Light	Leiden	75
100K	72	58	0.81	50	0.69	0.46	MIXCR	Light	Leiden	75
50K	72	58	0.81	50	0.69	0.45	MIXCR	Light	Leiden	75
1M250K	72	58	0.81	50	0.69	0.45	MIXCR	Light	Leiden	50
1M	72	58	0.81	50	0.69	0.45	MIXCR	Light	Leiden	50
750K	72	58	0.81	50	0.69	0.45	MIXCR	Light	Leiden	50
500K	72	58	0.81	51	0.71	0.45	MIXCR	Light	Leiden	50
250K	72	58	0.81	51	0.71	0.45	MIXCR	Light	Leiden	50
100K	72	57	0.79	50	0.69	0.43	MIXCR	Light	Leiden	50
50K	72	55	0.76	50	0.69	0.37	MIXCR	Light	Leiden	50
1M250K	72	0	0.00	0	0.00	0.00	MIXCR	Light	Leiden	25
1M	72	0	0.00	0	0.00	0.00	MIXCR	Light	Leiden	25
750K	72	0	0.00	0	0.00	0.00	MIXCR	Light	Leiden	25
500K	72	0	0.00	0	0.00	0.00	MIXCR	Light	Leiden	25
250K	72	0	0.00	0	0.00	0.00	MIXCR	Light	Leiden	25
100K	72	0	0.00	0	0.00	0.00	MIXCR	Light	Leiden	25
50K	72	0	0.00	0	0.00	0.00	MIXCR	Light	Leiden	25
