Read_Length Time	Coverage	Method
75bp	45	50K	BALDR
75bp	42	50K	BALDR
75bp	49	50K	BALDR
75bp	76	50K	BALDR
75bp	143	50K	BALDR
75bp	56	50K	BALDR
75bp	60	50K	BALDR
75bp	68	50K	BALDR
75bp	72	50K	BALDR
75bp	55	50K	BALDR
75bp	39	50K	BALDR
75bp	73	50K	BALDR
75bp	43	50K	BALDR
75bp	127	50K	BALDR
75bp	82	50K	BALDR
75bp	112	50K	BALDR
75bp	56	50K	BALDR
75bp	57	50K	BALDR
75bp	90	50K	BALDR
75bp	50	50K	BALDR
75bp	49	50K	BALDR
75bp	69	50K	BALDR
75bp	56	50K	BALDR
75bp	54	50K	BALDR
75bp	48	50K	BALDR
75bp	52	50K	BALDR
75bp	56	50K	BALDR
50bp	63	50K	BALDR
50bp	49	50K	BALDR
50bp	38	50K	BALDR
50bp	81	50K	BALDR
50bp	44	50K	BALDR
50bp	45	50K	BALDR
50bp	32	50K	BALDR
50bp	44	50K	BALDR
50bp	36	50K	BALDR
50bp	32	50K	BALDR
50bp	40	50K	BALDR
50bp	29	50K	BALDR
50bp	272	50K	BALDR
50bp	31	50K	BALDR
50bp	81	50K	BALDR
50bp	37	50K	BALDR
50bp	40	50K	BALDR
50bp	104	50K	BALDR
50bp	33	50K	BALDR
50bp	31	50K	BALDR
50bp	87	50K	BALDR
50bp	40	50K	BALDR
50bp	1751	50K	BALDR
50bp	1522	50K	BALDR
50bp	2117	50K	BALDR
50bp	110	50K	BALDR
50bp	243	50K	BALDR
50bp	48	50K	BALDR
50bp	33	50K	BALDR
50bp	44	50K	BALDR
50bp	94	50K	BALDR
50bp	51	50K	BALDR
50bp	254	50K	BALDR
50bp	53	50K	BALDR
50bp	110	50K	BALDR
50bp	42	50K	BALDR
50bp	368	50K	BALDR
50bp	65	50K	BALDR
50bp	49	50K	BALDR
50bp	36	50K	BALDR
25bp	1	50K	BALDR
25bp	0	50K	BALDR
25bp	0	50K	BALDR
25bp	0	50K	BALDR
25bp	1	50K	BALDR
25bp	0	50K	BALDR
25bp	0	50K	BALDR
25bp	1	50K	BALDR
25bp	0	50K	BALDR
25bp	0	50K	BALDR
25bp	1	50K	BALDR
25bp	0	50K	BALDR
25bp	0	50K	BALDR
25bp	1	50K	BALDR
25bp	0	50K	BALDR
25bp	0	50K	BALDR
25bp	1	50K	BALDR
25bp	0	50K	BALDR
25bp	0	50K	BALDR
25bp	0	50K	BALDR
25bp	1	50K	BALDR
25bp	0	50K	BALDR
25bp	1	50K	BALDR
25bp	0	50K	BALDR
25bp	0	50K	BALDR
25bp	0	50K	BALDR
25bp	0	50K	BALDR
25bp	1	50K	BALDR
25bp	0	50K	BALDR
25bp	0	50K	BALDR
25bp	0	50K	BALDR
25bp	0	50K	BALDR
25bp	1	50K	BALDR
25bp	0	50K	BALDR
25bp	0	50K	BALDR
25bp	0	50K	BALDR
25bp	0	50K	BALDR
25bp	0	50K	BALDR
25bp	0	50K	BALDR
25bp	0	50K	BALDR
100bp	650	50K	VDJpuzzle
100bp	635	50K	VDJpuzzle
100bp	680	50K	VDJpuzzle
100bp	610	50K	VDJpuzzle
75bp	501	50K	VDJpuzzle
75bp	520	50K	VDJpuzzle
75bp	510	50K	VDJpuzzle
75bp	504	50K	VDJpuzzle
75bp	507	50K	VDJpuzzle
50bp	600	50K	VDJpuzzle
50bp	597	50K	VDJpuzzle
50bp	610	50K	VDJpuzzle
50bp	603	50K	VDJpuzzle
50bp	590	50K	VDJpuzzle
25bp	501	50K	VDJpuzzle
25bp	490	50K	VDJpuzzle
25bp	498	50K	VDJpuzzle
25bp	475	50K	VDJpuzzle
25bp	460	50K	VDJpuzzle
100bp	10	50K	TRUST4
100bp	9	50K	TRUST4
100bp	11	50K	TRUST4
100bp	9	50K	TRUST4
100bp	11	50K	TRUST4
100bp	10	50K	TRUST4
100bp	9	50K	TRUST4
100bp	9	50K	TRUST4
100bp	10	50K	TRUST4
100bp	8	50K	TRUST4
100bp	12	50K	TRUST4
100bp	11	50K	TRUST4
100bp	7	50K	TRUST4
100bp	10	50K	TRUST4
100bp	11	50K	TRUST4
100bp	9	50K	TRUST4
100bp	9	50K	TRUST4
100bp	15	50K	TRUST4
100bp	10	50K	TRUST4
100bp	8	50K	TRUST4
100bp	9	50K	TRUST4
100bp	10	50K	TRUST4
100bp	14	50K	TRUST4
100bp	9	50K	TRUST4
100bp	10	50K	TRUST4
100bp	11	50K	TRUST4
100bp	11	50K	TRUST4
100bp	8	50K	TRUST4
100bp	10	50K	TRUST4
100bp	10	50K	TRUST4
100bp	8	50K	TRUST4
100bp	8	50K	TRUST4
75bp	0	50K	TRUST4
75bp	9	50K	TRUST4
75bp	19	50K	TRUST4
75bp	28	50K	TRUST4
75bp	37	50K	TRUST4
75bp	47	50K	TRUST4
75bp	58	50K	TRUST4
75bp	10	50K	TRUST4
75bp	23	50K	TRUST4
75bp	38	50K	TRUST4
75bp	55	50K	TRUST4
75bp	10	50K	TRUST4
75bp	25	50K	TRUST4
75bp	42	50K	TRUST4
75bp	58	50K	TRUST4
75bp	14	50K	TRUST4
75bp	31	50K	TRUST4
75bp	46	50K	TRUST4
75bp	2	50K	TRUST4
75bp	18	50K	TRUST4
75bp	33	50K	TRUST4
75bp	49	50K	TRUST4
75bp	5	50K	TRUST4
75bp	19	50K	TRUST4
75bp	33	50K	TRUST4
75bp	49	50K	TRUST4
75bp	7	50K	TRUST4
75bp	23	50K	TRUST4
75bp	37	50K	TRUST4
75bp	51	50K	TRUST4
75bp	8	50K	TRUST4
75bp	23	50K	TRUST4
50bp	13	50K	TRUST4
50bp	12	50K	TRUST4
50bp	14	50K	TRUST4
50bp	12	50K	TRUST4
50bp	11	50K	TRUST4
50bp	13	50K	TRUST4
50bp	10	50K	TRUST4
50bp	10	50K	TRUST4
50bp	11	50K	TRUST4
50bp	12	50K	TRUST4
50bp	11	50K	TRUST4
50bp	14	50K	TRUST4
50bp	12	50K	TRUST4
50bp	11	50K	TRUST4
50bp	12	50K	TRUST4
50bp	11	50K	TRUST4
50bp	12	50K	TRUST4
50bp	12	50K	TRUST4
50bp	12	50K	TRUST4
50bp	12	50K	TRUST4
50bp	11	50K	TRUST4
50bp	10	50K	TRUST4
50bp	12	50K	TRUST4
50bp	12	50K	TRUST4
50bp	12	50K	TRUST4
50bp	11	50K	TRUST4
50bp	12	50K	TRUST4
50bp	11	50K	TRUST4
50bp	12	50K	TRUST4
50bp	12	50K	TRUST4
50bp	11	50K	TRUST4
50bp	10	50K	TRUST4
25bp	1	50K	TRUST4
25bp	1	50K	TRUST4
25bp	2	50K	TRUST4
25bp	3	50K	TRUST4
25bp	3	50K	TRUST4
25bp	2	50K	TRUST4
25bp	1	50K	TRUST4
25bp	3	50K	TRUST4
25bp	4	50K	TRUST4
25bp	5	50K	TRUST4
25bp	2	50K	TRUST4
25bp	1	50K	TRUST4
25bp	1	50K	TRUST4
25bp	1	50K	TRUST4
25bp	2	50K	TRUST4
25bp	1	50K	TRUST4
25bp	2	50K	TRUST4
25bp	1	50K	TRUST4
25bp	1	50K	TRUST4
25bp	2	50K	TRUST4
25bp	1	50K	TRUST4
25bp	2	50K	TRUST4
25bp	3	50K	TRUST4
25bp	1	50K	TRUST4
25bp	1	50K	TRUST4
25bp	1	50K	TRUST4
25bp	2	50K	TRUST4
25bp	1	50K	TRUST4
25bp	3	50K	TRUST4
25bp	2	50K	TRUST4
25bp	1	50K	TRUST4
25bp	1	50K	TRUST4
25bp	3	50K	TRUST4
25bp	3	50K	TRUST4
