Read_Length Time	Coverage	Method
100bp	54	250K	BASIC
100bp	60	250K	BASIC
100bp	65	250K	BASIC
100bp	60	250K	BASIC
100bp	59	250K	BASIC
100bp	58	250K	BASIC
100bp	59	250K	BASIC
100bp	65	250K	BASIC
100bp	55	250K	BASIC
100bp	59	250K	BASIC
100bp	60	250K	BASIC
100bp	61	250K	BASIC
100bp	61	250K	BASIC
100bp	57	250K	BASIC
100bp	62	250K	BASIC
100bp	59	250K	BASIC
100bp	58	250K	BASIC
100bp	59	250K	BASIC
100bp	65	250K	BASIC
100bp	55	250K	BASIC
100bp	59	250K	BASIC
100bp	58	250K	BASIC
75bp	47	250K	BASIC
75bp	52	250K	BASIC
75bp	53	250K	BASIC
75bp	54	250K	BASIC
75bp	53	250K	BASIC
75bp	50	250K	BASIC
75bp	55	250K	BASIC
75bp	58	250K	BASIC
75bp	50	250K	BASIC
75bp	56	250K	BASIC
75bp	49	250K	BASIC
75bp	51	250K	BASIC
75bp	49	250K	BASIC
75bp	50	250K	BASIC
75bp	50	250K	BASIC
75bp	47	250K	BASIC
75bp	50	250K	BASIC
75bp	52	250K	BASIC
75bp	53	250K	BASIC
75bp	53	250K	BASIC
75bp	54	250K	BASIC
75bp	51	250K	BASIC
75bp	57	250K	BASIC
75bp	52	250K	BASIC
75bp	51	250K	BASIC
75bp	50	250K	BASIC
75bp	55	250K	BASIC
75bp	57	250K	BASIC
75bp	49	250K	BASIC
75bp	49	250K	BASIC
75bp	49	250K	BASIC
75bp	57	250K	BASIC
75bp	53	250K	BASIC
75bp	50	250K	BASIC
75bp	52	250K	BASIC
75bp	53	250K	BASIC
75bp	53	250K	BASIC
75bp	54	250K	BASIC
75bp	51	250K	BASIC
75bp	53	250K	BASIC
50bp	38	250K	BASIC
50bp	41	250K	BASIC
50bp	41	250K	BASIC
50bp	44	250K	BASIC
50bp	43	250K	BASIC
50bp	45	250K	BASIC
50bp	39	250K	BASIC
50bp	50	250K	BASIC
50bp	42	250K	BASIC
50bp	46	250K	BASIC
50bp	41	250K	BASIC
50bp	41	250K	BASIC
50bp	39	250K	BASIC
50bp	40	250K	BASIC
50bp	40	250K	BASIC
50bp	51	250K	BASIC
50bp	42	250K	BASIC
50bp	44	250K	BASIC
50bp	43	250K	BASIC
50bp	46	250K	BASIC
50bp	45	250K	BASIC
50bp	40	250K	BASIC
50bp	44	250K	BASIC
50bp	44	250K	BASIC
50bp	43	250K	BASIC
50bp	42	250K	BASIC
50bp	45	250K	BASIC
50bp	41	250K	BASIC
50bp	42	250K	BASIC
50bp	38	250K	BASIC
50bp	38	250K	BASIC
50bp	41	250K	BASIC
50bp	43	250K	BASIC
50bp	41	250K	BASIC
50bp	55	250K	BASIC
50bp	46	250K	BASIC
50bp	57	250K	BASIC
50bp	47	250K	BASIC
50bp	42	250K	BASIC
50bp	40	250K	BASIC
25bp	29	250K	BASIC
25bp	32	250K	BASIC
25bp	31	250K	BASIC
25bp	31	250K	BASIC
25bp	31	250K	BASIC
25bp	29	250K	BASIC
25bp	32	250K	BASIC
25bp	30	250K	BASIC
25bp	27	250K	BASIC
25bp	30	250K	BASIC
25bp	32	250K	BASIC
25bp	32	250K	BASIC
25bp	31	250K	BASIC
25bp	32	250K	BASIC
25bp	30	250K	BASIC
25bp	27	250K	BASIC
25bp	32	250K	BASIC
25bp	30	250K	BASIC
25bp	30	250K	BASIC
25bp	32	250K	BASIC
25bp	24	250K	BASIC
25bp	32	250K	BASIC
25bp	29	250K	BASIC
25bp	31	250K	BASIC
25bp	33	250K	BASIC
25bp	31	250K	BASIC
25bp	31	250K	BASIC
25bp	30	250K	BASIC
25bp	31	250K	BASIC
25bp	29	250K	BASIC
25bp	31	250K	BASIC
25bp	30	250K	BASIC
25bp	28	250K	BASIC
25bp	30	250K	BASIC
25bp	30	250K	BASIC
25bp	30	250K	BASIC
25bp	33	250K	BASIC
25bp	31	250K	BASIC
25bp	31	250K	BASIC
25bp	30	250K	BASIC
100bp	310	250K	BALDR
100bp	271	250K	BALDR
100bp	348	250K	BALDR
100bp	217	250K	BALDR
100bp	282	250K	BALDR
100bp	305	250K	BALDR
100bp	231	250K	BALDR
100bp	203	250K	BALDR
100bp	258	250K	BALDR
100bp	233	250K	BALDR
100bp	374	250K	BALDR
100bp	237	250K	BALDR
100bp	275	250K	BALDR
100bp	318	250K	BALDR
100bp	252	250K	BALDR
100bp	391	250K	BALDR
100bp	359	250K	BALDR
100bp	368	250K	BALDR
100bp	251	250K	BALDR
100bp	275	250K	BALDR
100bp	272	250K	BALDR
100bp	306	250K	BALDR
100bp	350	250K	BALDR
100bp	251	250K	BALDR
100bp	298	250K	BALDR
100bp	295	250K	BALDR
100bp	285	250K	BALDR
100bp	444	250K	BALDR
100bp	313	250K	BALDR
100bp	342	250K	BALDR
100bp	357	250K	BALDR
100bp	207	250K	BALDR
100bp	287	250K	BALDR
100bp	439	250K	BALDR
100bp	339	250K	BALDR
100bp	287	250K	BALDR
100bp	363	250K	BALDR
100bp	363	250K	BALDR
100bp	307	250K	BALDR
100bp	336	250K	BALDR
75bp	301	250K	BALDR
75bp	105	250K	BALDR
75bp	207	250K	BALDR
75bp	219	250K	BALDR
75bp	285	250K	BALDR
75bp	152	250K	BALDR
75bp	125	250K	BALDR
75bp	132	250K	BALDR
75bp	155	250K	BALDR
75bp	229	250K	BALDR
75bp	187	250K	BALDR
75bp	117	250K	BALDR
75bp	114	250K	BALDR
75bp	127	250K	BALDR
75bp	106	250K	BALDR
75bp	130	250K	BALDR
75bp	215	250K	BALDR
75bp	195	250K	BALDR
75bp	187	250K	BALDR
75bp	127	250K	BALDR
75bp	185	250K	BALDR
75bp	174	250K	BALDR
75bp	181	250K	BALDR
75bp	148	250K	BALDR
75bp	172	250K	BALDR
75bp	137	250K	BALDR
75bp	182	250K	BALDR
75bp	176	250K	BALDR
75bp	200	250K	BALDR
75bp	151	250K	BALDR
75bp	237	250K	BALDR
75bp	140	250K	BALDR
75bp	162	250K	BALDR
75bp	402	250K	BALDR
75bp	145	250K	BALDR
75bp	244	250K	BALDR
75bp	212	250K	BALDR
75bp	175	250K	BALDR
75bp	152	250K	BALDR
75bp	101	250K	BALDR
50bp	94	250K	BALDR
50bp	115	250K	BALDR
50bp	166	250K	BALDR
50bp	84	250K	BALDR
50bp	135	250K	BALDR
50bp	69	250K	BALDR
50bp	80	250K	BALDR
50bp	126	250K	BALDR
50bp	77	250K	BALDR
50bp	140	250K	BALDR
50bp	152	250K	BALDR
50bp	114	250K	BALDR
50bp	90	250K	BALDR
50bp	145	250K	BALDR
50bp	78	250K	BALDR
50bp	88	250K	BALDR
50bp	111	250K	BALDR
50bp	160	250K	BALDR
50bp	108	250K	BALDR
50bp	133	250K	BALDR
50bp	139	250K	BALDR
50bp	74	250K	BALDR
50bp	138	250K	BALDR
50bp	90	250K	BALDR
50bp	104	250K	BALDR
50bp	107	250K	BALDR
50bp	149	250K	BALDR
50bp	95	250K	BALDR
50bp	152	250K	BALDR
50bp	195	250K	BALDR
50bp	137	250K	BALDR
50bp	143	250K	BALDR
50bp	92	250K	BALDR
50bp	124	250K	BALDR
50bp	103	250K	BALDR
50bp	89	250K	BALDR
50bp	96	250K	BALDR
50bp	88	250K	BALDR
50bp	83	250K	BALDR
50bp	114	250K	BALDR
25bp	54	250K	BALDR
25bp	48	250K	BALDR
25bp	91	250K	BALDR
25bp	37	250K	BALDR
25bp	40	250K	BALDR
25bp	75	250K	BALDR
25bp	38	250K	BALDR
25bp	116	250K	BALDR
25bp	45	250K	BALDR
25bp	44	250K	BALDR
25bp	40	250K	BALDR
25bp	48	250K	BALDR
25bp	54	250K	BALDR
25bp	41	250K	BALDR
25bp	53	250K	BALDR
25bp	41	250K	BALDR
25bp	47	250K	BALDR
25bp	120	250K	BALDR
25bp	36	250K	BALDR
25bp	107	250K	BALDR
25bp	37	250K	BALDR
25bp	70	250K	BALDR
25bp	70	250K	BALDR
25bp	41	250K	BALDR
25bp	85	250K	BALDR
25bp	91	250K	BALDR
25bp	53	250K	BALDR
25bp	39	250K	BALDR
25bp	90	250K	BALDR
25bp	136	250K	BALDR
25bp	39	250K	BALDR
25bp	90	250K	BALDR
25bp	58	250K	BALDR
25bp	40	250K	BALDR
25bp	39	250K	BALDR
25bp	107	250K	BALDR
25bp	41	250K	BALDR
25bp	54	250K	BALDR
25bp	49	250K	BALDR
25bp	40	250K	BALDR
100bp	1211	250K	VDJpuzzle
100bp	1210	250K	VDJpuzzle
100bp	1300	250K	VDJpuzzle
100bp	1119	250K	VDJpuzzle
75bp	622	250K	VDJpuzzle
75bp	619	250K	VDJpuzzle
75bp	616	250K	VDJpuzzle
75bp	628	250K	VDJpuzzle
75bp	620	250K	VDJpuzzle
50bp	900	250K	VDJpuzzle
50bp	913	250K	VDJpuzzle
50bp	890	250K	VDJpuzzle
50bp	915	250K	VDJpuzzle
50bp	889	250K	VDJpuzzle
25bp	622	250K	VDJpuzzle
25bp	610	250K	VDJpuzzle
25bp	618	250K	VDJpuzzle
25bp	630	250K	VDJpuzzle
25bp	660	250K	VDJpuzzle
100bp	20	250K	TRUST4
100bp	24	250K	TRUST4
100bp	26	250K	TRUST4
100bp	25	250K	TRUST4
100bp	24	250K	TRUST4
100bp	28	250K	TRUST4
100bp	20	250K	TRUST4
100bp	26	250K	TRUST4
100bp	31	250K	TRUST4
100bp	22	250K	TRUST4
100bp	32	250K	TRUST4
100bp	23	250K	TRUST4
100bp	28	250K	TRUST4
100bp	26	250K	TRUST4
100bp	23	250K	TRUST4
100bp	25	250K	TRUST4
100bp	19	250K	TRUST4
100bp	24	250K	TRUST4
100bp	21	250K	TRUST4
100bp	18	250K	TRUST4
100bp	20	250K	TRUST4
100bp	17	250K	TRUST4
100bp	22	250K	TRUST4
100bp	21	250K	TRUST4
100bp	20	250K	TRUST4
100bp	19	250K	TRUST4
100bp	22	250K	TRUST4
100bp	19	250K	TRUST4
100bp	21	250K	TRUST4
100bp	17	250K	TRUST4
100bp	23	250K	TRUST4
100bp	17	250K	TRUST4
75bp	20	250K	TRUST4
75bp	24	250K	TRUST4
75bp	26	250K	TRUST4
75bp	25	250K	TRUST4
75bp	24	250K	TRUST4
75bp	28	250K	TRUST4
75bp	20	250K	TRUST4
75bp	26	250K	TRUST4
75bp	31	250K	TRUST4
75bp	22	250K	TRUST4
75bp	32	250K	TRUST4
75bp	23	250K	TRUST4
75bp	28	250K	TRUST4
75bp	26	250K	TRUST4
75bp	23	250K	TRUST4
75bp	25	250K	TRUST4
75bp	19	250K	TRUST4
75bp	24	250K	TRUST4
75bp	21	250K	TRUST4
75bp	18	250K	TRUST4
75bp	20	250K	TRUST4
75bp	17	250K	TRUST4
75bp	22	250K	TRUST4
75bp	21	250K	TRUST4
75bp	20	250K	TRUST4
75bp	19	250K	TRUST4
75bp	22	250K	TRUST4
75bp	19	250K	TRUST4
75bp	21	250K	TRUST4
75bp	17	250K	TRUST4
75bp	23	250K	TRUST4
75bp	17	250K	TRUST4
50bp	33	250K	TRUST4
50bp	33	250K	TRUST4
50bp	34	250K	TRUST4
50bp	31	250K	TRUST4
50bp	34	250K	TRUST4
50bp	35	250K	TRUST4
50bp	28	250K	TRUST4
50bp	32	250K	TRUST4
50bp	36	250K	TRUST4
50bp	34	250K	TRUST4
50bp	32	250K	TRUST4
50bp	31	250K	TRUST4
50bp	31	250K	TRUST4
50bp	30	250K	TRUST4
50bp	31	250K	TRUST4
50bp	33	250K	TRUST4
50bp	28	250K	TRUST4
50bp	28	250K	TRUST4
50bp	26	250K	TRUST4
50bp	24	250K	TRUST4
50bp	25	250K	TRUST4
50bp	27	250K	TRUST4
50bp	24	250K	TRUST4
50bp	26	250K	TRUST4
50bp	25	250K	TRUST4
50bp	27	250K	TRUST4
50bp	24	250K	TRUST4
50bp	24	250K	TRUST4
50bp	27	250K	TRUST4
50bp	25	250K	TRUST4
50bp	27	250K	TRUST4
50bp	28	250K	TRUST4
25bp	5	250K	TRUST4
25bp	4	250K	TRUST4
25bp	4	250K	TRUST4
25bp	5	250K	TRUST4
25bp	3	250K	TRUST4
25bp	4	250K	TRUST4
25bp	5	250K	TRUST4
25bp	4	250K	TRUST4
25bp	5	250K	TRUST4
25bp	4	250K	TRUST4
25bp	6	250K	TRUST4
25bp	4	250K	TRUST4
25bp	3	250K	TRUST4
25bp	4	250K	TRUST4
25bp	6	250K	TRUST4
25bp	4	250K	TRUST4
25bp	4	250K	TRUST4
25bp	4	250K	TRUST4
25bp	4	250K	TRUST4
25bp	4	250K	TRUST4
25bp	5	250K	TRUST4
25bp	4	250K	TRUST4
25bp	6	250K	TRUST4
25bp	4	250K	TRUST4
25bp	5	250K	TRUST4
25bp	4	250K	TRUST4
25bp	6	250K	TRUST4
25bp	4	250K	TRUST4
25bp	5	250K	TRUST4
25bp	3	250K	TRUST4
25bp	4	250K	TRUST4
25bp	6	250K	TRUST4
25bp	4	250K	TRUST4
25bp	3	250K	TRUST4
25bp	4	250K	TRUST4
25bp	4	250K	TRUST4
25bp	5	250K	TRUST4
25bp	3	250K	TRUST4
25bp	4	250K	TRUST4
25bp	6	250K	TRUST4
100bp	659	500K	BRACER
100bp	630	500K	BRACER
100bp	732	500K	BRACER
100bp	730	500K	BRACER
100bp	677	500K	BRACER
100bp	677	500K	BRACER
100bp	646	500K	BRACER
100bp	668	500K	BRACER
100bp	683	500K	BRACER
100bp	687	500K	BRACER
100bp	716	500K	BRACER
100bp	624	500K	BRACER
100bp	716	500K	BRACER
100bp	728	500K	BRACER
100bp	728	500K	BRACER
100bp	645	500K	BRACER
100bp	630	500K	BRACER
100bp	628	500K	BRACER
100bp	1258	500K	BRACER
100bp	621	500K	BRACER
100bp	628	500K	BRACER
100bp	621	500K	BRACER
100bp	652	500K	BRACER
100bp	615	500K	BRACER
100bp	628	500K	BRACER
100bp	620	500K	BRACER
100bp	634	500K	BRACER
100bp	708	500K	BRACER
100bp	620	500K	BRACER
100bp	637	500K	BRACER
100bp	710	500K	BRACER
100bp	630	500K	BRACER
100bp	627	500K	BRACER
100bp	656	500K	BRACER
100bp	627	500K	BRACER
100bp	669	500K	BRACER
100bp	620	500K	BRACER
100bp	669	500K	BRACER
100bp	667	500K	BRACER
100bp	626	500K	BRACER
75bp	1227	500K	BRACER
75bp	688	500K	BRACER
75bp	671	500K	BRACER
75bp	694	500K	BRACER
75bp	678	500K	BRACER
75bp	671	500K	BRACER
75bp	668	500K	BRACER
75bp	641	500K	BRACER
75bp	714	500K	BRACER
75bp	712	500K	BRACER
75bp	653	500K	BRACER
75bp	614	500K	BRACER
75bp	651	500K	BRACER
75bp	685	500K	BRACER
75bp	688	500K	BRACER
75bp	658	500K	BRACER
75bp	656	500K	BRACER
75bp	677	500K	BRACER
75bp	675	500K	BRACER
75bp	667	500K	BRACER
75bp	655	500K	BRACER
75bp	716	500K	BRACER
75bp	654	500K	BRACER
75bp	712	500K	BRACER
75bp	708	500K	BRACER
75bp	703	500K	BRACER
75bp	613	500K	BRACER
75bp	652	500K	BRACER
75bp	670	500K	BRACER
75bp	619	500K	BRACER
75bp	617	500K	BRACER
75bp	614	500K	BRACER
75bp	686	500K	BRACER
75bp	656	500K	BRACER
75bp	616	500K	BRACER
75bp	706	500K	BRACER
75bp	704	500K	BRACER
75bp	666	500K	BRACER
75bp	667	500K	BRACER
75bp	643	500K	BRACER
50bp	690	500K	BRACER
50bp	690	500K	BRACER
50bp	689	500K	BRACER
50bp	749	500K	BRACER
50bp	671	500K	BRACER
50bp	752	500K	BRACER
50bp	685	500K	BRACER
50bp	760	500K	BRACER
50bp	599	500K	BRACER
50bp	680	500K	BRACER
50bp	597	500K	BRACER
50bp	713	500K	BRACER
50bp	663	500K	BRACER
50bp	643	500K	BRACER
50bp	606	500K	BRACER
50bp	698	500K	BRACER
50bp	597	500K	BRACER
50bp	636	500K	BRACER
50bp	696	500K	BRACER
50bp	607	500K	BRACER
50bp	702	500K	BRACER
50bp	705	500K	BRACER
50bp	714	500K	BRACER
50bp	707	500K	BRACER
50bp	717	500K	BRACER
50bp	689	500K	BRACER
50bp	713	500K	BRACER
50bp	704	500K	BRACER
50bp	710	500K	BRACER
50bp	700	500K	BRACER
50bp	711	500K	BRACER
50bp	714	500K	BRACER
50bp	693	500K	BRACER
50bp	710	500K	BRACER
50bp	717	500K	BRACER
50bp	706	500K	BRACER
50bp	688	500K	BRACER
50bp	703	500K	BRACER
50bp	689	500K	BRACER
50bp	686	500K	BRACER
25bp	59	500K	BRACER
25bp	67	500K	BRACER
25bp	63	500K	BRACER
25bp	62	500K	BRACER
25bp	62	500K	BRACER
25bp	61	500K	BRACER
25bp	62	500K	BRACER
25bp	60	500K	BRACER
25bp	60	500K	BRACER
25bp	64	500K	BRACER
25bp	64	500K	BRACER
25bp	60	500K	BRACER
25bp	62	500K	BRACER
25bp	59	500K	BRACER
25bp	62	500K	BRACER
25bp	61	500K	BRACER
25bp	58	500K	BRACER
25bp	61	500K	BRACER
25bp	59	500K	BRACER
25bp	59	500K	BRACER
25bp	59	500K	BRACER
25bp	61	500K	BRACER
25bp	60	500K	BRACER
25bp	59	500K	BRACER
25bp	61	500K	BRACER
25bp	61	500K	BRACER
25bp	63	500K	BRACER
25bp	60	500K	BRACER
25bp	60	500K	BRACER
25bp	60	500K	BRACER
25bp	58	500K	BRACER
25bp	60	500K	BRACER
25bp	60	500K	BRACER
25bp	60	500K	BRACER
25bp	58	500K	BRACER
25bp	62	500K	BRACER
25bp	62	500K	BRACER
25bp	62	500K	BRACER
25bp	61	500K	BRACER
25bp	63	500K	BRACER
100bp	193	500K	MIXCR
100bp	161	500K	MIXCR
100bp	167	500K	MIXCR
100bp	87	500K	MIXCR
100bp	92	500K	MIXCR
100bp	166	500K	MIXCR
100bp	90	500K	MIXCR
100bp	169	500K	MIXCR
100bp	171	500K	MIXCR
100bp	174	500K	MIXCR
100bp	171	500K	MIXCR
100bp	190	500K	MIXCR
100bp	173	500K	MIXCR
100bp	173	500K	MIXCR
100bp	54	500K	MIXCR
100bp	172	500K	MIXCR
100bp	160	500K	MIXCR
100bp	174	500K	MIXCR
100bp	176	500K	MIXCR
100bp	177	500K	MIXCR
100bp	177	500K	MIXCR
100bp	90	500K	MIXCR
100bp	54	500K	MIXCR
100bp	146	500K	MIXCR
100bp	158	500K	MIXCR
100bp	54	500K	MIXCR
100bp	88	500K	MIXCR
100bp	82	500K	MIXCR
100bp	167	500K	MIXCR
100bp	166	500K	MIXCR
100bp	88	500K	MIXCR
100bp	112	500K	MIXCR
100bp	136	500K	MIXCR
100bp	162	500K	MIXCR
100bp	125	500K	MIXCR
100bp	91	500K	MIXCR
100bp	173	500K	MIXCR
100bp	176	500K	MIXCR
100bp	175	500K	MIXCR
100bp	156	500K	MIXCR
75bp	78	500K	MIXCR
75bp	140	500K	MIXCR
75bp	139	500K	MIXCR
75bp	141	500K	MIXCR
75bp	145	500K	MIXCR
75bp	144	500K	MIXCR
75bp	145	500K	MIXCR
75bp	143	500K	MIXCR
75bp	139	500K	MIXCR
75bp	139	500K	MIXCR
75bp	139	500K	MIXCR
75bp	78	500K	MIXCR
75bp	139	500K	MIXCR
75bp	142	500K	MIXCR
75bp	142	500K	MIXCR
75bp	142	500K	MIXCR
75bp	141	500K	MIXCR
75bp	140	500K	MIXCR
75bp	140	500K	MIXCR
75bp	143	500K	MIXCR
75bp	143	500K	MIXCR
75bp	146	500K	MIXCR
75bp	111	500K	MIXCR
75bp	143	500K	MIXCR
75bp	145	500K	MIXCR
75bp	143	500K	MIXCR
75bp	145	500K	MIXCR
75bp	145	500K	MIXCR
75bp	145	500K	MIXCR
75bp	145	500K	MIXCR
75bp	144	500K	MIXCR
75bp	144	500K	MIXCR
75bp	145	500K	MIXCR
75bp	111	500K	MIXCR
75bp	144	500K	MIXCR
75bp	112	500K	MIXCR
75bp	114	500K	MIXCR
75bp	114	500K	MIXCR
75bp	114	500K	MIXCR
75bp	141	500K	MIXCR
50bp	64	500K	MIXCR
50bp	107	500K	MIXCR
50bp	109	500K	MIXCR
50bp	110	500K	MIXCR
50bp	110	500K	MIXCR
50bp	109	500K	MIXCR
50bp	106	500K	MIXCR
50bp	106	500K	MIXCR
50bp	106	500K	MIXCR
50bp	106	500K	MIXCR
50bp	108	500K	MIXCR
50bp	63	500K	MIXCR
50bp	108	500K	MIXCR
50bp	108	500K	MIXCR
50bp	108	500K	MIXCR
50bp	107	500K	MIXCR
50bp	107	500K	MIXCR
50bp	106	500K	MIXCR
50bp	107	500K	MIXCR
50bp	112	500K	MIXCR
50bp	111	500K	MIXCR
50bp	111	500K	MIXCR
50bp	107	500K	MIXCR
50bp	110	500K	MIXCR
50bp	108	500K	MIXCR
50bp	107	500K	MIXCR
50bp	108	500K	MIXCR
50bp	107	500K	MIXCR
50bp	107	500K	MIXCR
50bp	107	500K	MIXCR
50bp	109	500K	MIXCR
50bp	107	500K	MIXCR
50bp	58	500K	MIXCR
50bp	107	500K	MIXCR
50bp	58	500K	MIXCR
50bp	107	500K	MIXCR
50bp	107	500K	MIXCR
50bp	108	500K	MIXCR
50bp	107	500K	MIXCR
50bp	107	500K	MIXCR
25bp	27	500K	MIXCR
25bp	59	500K	MIXCR
25bp	76	500K	MIXCR
25bp	76	500K	MIXCR
25bp	76	500K	MIXCR
25bp	77	500K	MIXCR
25bp	75	500K	MIXCR
25bp	74	500K	MIXCR
25bp	75	500K	MIXCR
25bp	74	500K	MIXCR
25bp	76	500K	MIXCR
25bp	58	500K	MIXCR
25bp	75	500K	MIXCR
25bp	76	500K	MIXCR
25bp	75	500K	MIXCR
25bp	74	500K	MIXCR
25bp	73	500K	MIXCR
25bp	65	500K	MIXCR
25bp	73	500K	MIXCR
25bp	75	500K	MIXCR
25bp	75	500K	MIXCR
25bp	74	500K	MIXCR
25bp	57	500K	MIXCR
25bp	74	500K	MIXCR
25bp	76	500K	MIXCR
25bp	75	500K	MIXCR
25bp	76	500K	MIXCR
25bp	75	500K	MIXCR
25bp	75	500K	MIXCR
25bp	75	500K	MIXCR
25bp	75	500K	MIXCR
25bp	75	500K	MIXCR
25bp	40	500K	MIXCR
25bp	58	500K	MIXCR
25bp	40	500K	MIXCR
25bp	58	500K	MIXCR
25bp	58	500K	MIXCR
25bp	58	500K	MIXCR
25bp	60	500K	MIXCR
25bp	59	500K	MIXCR
100bp	100	500K	BASIC
100bp	113	500K	BASIC
100bp	114	500K	BASIC
100bp	102	500K	BASIC
100bp	126	500K	BASIC
100bp	116	500K	BASIC
100bp	131	500K	BASIC
100bp	114	500K	BASIC
100bp	113	500K	BASIC
100bp	104	500K	BASIC
100bp	126	500K	BASIC
100bp	117	500K	BASIC
100bp	118	500K	BASIC
100bp	124	500K	BASIC
100bp	109	500K	BASIC
100bp	111	500K	BASIC
100bp	123	500K	BASIC
100bp	125	500K	BASIC
100bp	119	500K	BASIC
100bp	120	500K	BASIC
100bp	136	500K	BASIC
100bp	114	500K	BASIC
100bp	123	500K	BASIC
100bp	112	500K	BASIC
100bp	106	500K	BASIC
100bp	113	500K	BASIC
100bp	116	500K	BASIC
100bp	107	500K	BASIC
100bp	114	500K	BASIC
100bp	120	500K	BASIC
100bp	105	500K	BASIC
100bp	110	500K	BASIC
100bp	110	500K	BASIC
100bp	123	500K	BASIC
100bp	136	500K	BASIC
100bp	114	500K	BASIC
100bp	123	500K	BASIC
100bp	112	500K	BASIC
100bp	123	500K	BASIC
100bp	112	500K	BASIC
75bp	92	500K	BASIC
75bp	99	500K	BASIC
75bp	100	500K	BASIC
75bp	102	500K	BASIC
75bp	102	500K	BASIC
75bp	107	500K	BASIC
75bp	107	500K	BASIC
75bp	105	500K	BASIC
75bp	95	500K	BASIC
75bp	99	500K	BASIC
75bp	105	500K	BASIC
75bp	102	500K	BASIC
75bp	95	500K	BASIC
75bp	104	500K	BASIC
75bp	99	500K	BASIC
75bp	100	500K	BASIC
75bp	105	500K	BASIC
75bp	104	500K	BASIC
75bp	104	500K	BASIC
75bp	105	500K	BASIC
75bp	102	500K	BASIC
75bp	102	500K	BASIC
75bp	96	500K	BASIC
75bp	106	500K	BASIC
75bp	108	500K	BASIC
75bp	92	500K	BASIC
75bp	91	500K	BASIC
75bp	109	500K	BASIC
75bp	97	500K	BASIC
75bp	96	500K	BASIC
75bp	94	500K	BASIC
75bp	102	500K	BASIC
75bp	97	500K	BASIC
75bp	101	500K	BASIC
75bp	108	500K	BASIC
75bp	92	500K	BASIC
75bp	91	500K	BASIC
75bp	109	500K	BASIC
75bp	97	500K	BASIC
75bp	96	500K	BASIC
50bp	75	500K	BASIC
50bp	79	500K	BASIC
50bp	76	500K	BASIC
50bp	82	500K	BASIC
50bp	81	500K	BASIC
50bp	82	500K	BASIC
50bp	93	500K	BASIC
50bp	95	500K	BASIC
50bp	81	500K	BASIC
50bp	78	500K	BASIC
50bp	76	500K	BASIC
50bp	79	500K	BASIC
50bp	78	500K	BASIC
50bp	79	500K	BASIC
50bp	81	500K	BASIC
50bp	83	500K	BASIC
50bp	84	500K	BASIC
50bp	86	500K	BASIC
50bp	82	500K	BASIC
50bp	87	500K	BASIC
50bp	86	500K	BASIC
50bp	79	500K	BASIC
50bp	78	500K	BASIC
50bp	76	500K	BASIC
50bp	76	500K	BASIC
50bp	78	500K	BASIC
50bp	82	500K	BASIC
50bp	78	500K	BASIC
50bp	84	500K	BASIC
50bp	77	500K	BASIC
50bp	72	500K	BASIC
50bp	72	500K	BASIC
50bp	87	500K	BASIC
50bp	82	500K	BASIC
50bp	118	500K	BASIC
50bp	91	500K	BASIC
50bp	110	500K	BASIC
50bp	93	500K	BASIC
50bp	90	500K	BASIC
50bp	89	500K	BASIC
25bp	53	500K	BASIC
25bp	63	500K	BASIC
25bp	61	500K	BASIC
25bp	63	500K	BASIC
25bp	64	500K	BASIC
25bp	61	500K	BASIC
25bp	62	500K	BASIC
25bp	61	500K	BASIC
25bp	54	500K	BASIC
25bp	59	500K	BASIC
25bp	61	500K	BASIC
25bp	61	500K	BASIC
25bp	58	500K	BASIC
25bp	58	500K	BASIC
25bp	60	500K	BASIC
25bp	60	500K	BASIC
25bp	62	500K	BASIC
25bp	59	500K	BASIC
25bp	58	500K	BASIC
25bp	64	500K	BASIC
25bp	58	500K	BASIC
25bp	50	500K	BASIC
25bp	64	500K	BASIC
25bp	65	500K	BASIC
25bp	59	500K	BASIC
25bp	55	500K	BASIC
25bp	60	500K	BASIC
25bp	60	500K	BASIC
25bp	58	500K	BASIC
25bp	54	500K	BASIC
25bp	56	500K	BASIC
25bp	59	500K	BASIC
25bp	56	500K	BASIC
25bp	59	500K	BASIC
25bp	58	500K	BASIC
25bp	56	500K	BASIC
25bp	62	500K	BASIC
25bp	60	500K	BASIC
25bp	60	500K	BASIC
25bp	81	500K	BASIC
100bp	629	500K	BALDR
100bp	517	500K	BALDR
100bp	627	500K	BALDR
100bp	488	500K	BALDR
100bp	336	500K	BALDR
100bp	666	500K	BALDR
100bp	501	500K	BALDR
100bp	499	500K	BALDR
100bp	1377	500K	BALDR
100bp	482	500K	BALDR
100bp	713	500K	BALDR
100bp	422	500K	BALDR
100bp	637	500K	BALDR
100bp	545	500K	BALDR
100bp	501	500K	BALDR
100bp	540	500K	BALDR
100bp	602	500K	BALDR
100bp	666	500K	BALDR
100bp	529	500K	BALDR
100bp	468	500K	BALDR
100bp	563	500K	BALDR
100bp	354	500K	BALDR
100bp	393	500K	BALDR
100bp	636	500K	BALDR
100bp	465	500K	BALDR
100bp	594	500K	BALDR
100bp	639	500K	BALDR
100bp	418	500K	BALDR
100bp	617	500K	BALDR
100bp	805	500K	BALDR
100bp	441	500K	BALDR
100bp	481	500K	BALDR
100bp	351	500K	BALDR
100bp	473	500K	BALDR
